Refdatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2020/01/01 00:00:00+00,19,0,19
2020/01/02 00:00:00+00,18,0,18
2020/01/03 00:00:00+00,20,1,19
2020/01/04 00:00:00+00,18,1,17
2020/01/05 00:00:00+00,22,0,22
2020/01/06 00:00:00+00,12,0,12
2020/01/07 00:00:00+00,13,0,13
2020/01/08 00:00:00+00,10,0,10
2020/01/09 00:00:00+00,6,0,6
2020/01/10 00:00:00+00,3,0,3
2020/01/11 00:00:00+00,6,0,6
2020/01/12 00:00:00+00,6,0,6
2020/01/13 00:00:00+00,9,0,9
2020/01/14 00:00:00+00,4,0,4
2020/01/15 00:00:00+00,5,0,5
2020/01/16 00:00:00+00,2,0,2
2020/01/17 00:00:00+00,7,1,6
2020/01/18 00:00:00+00,7,1,6
2020/01/19 00:00:00+00,5,0,5
2020/01/20 00:00:00+00,4,0,4
2020/01/21 00:00:00+00,2,0,2
2020/01/22 00:00:00+00,4,0,4
2020/01/23 00:00:00+00,3,0,3
2020/01/24 00:00:00+00,5,1,4
2020/01/25 00:00:00+00,4,0,4
2020/01/26 00:00:00+00,4,0,4
2020/01/27 00:00:00+00,7,0,7
2020/01/28 00:00:00+00,4,0,4
2020/01/29 00:00:00+00,11,0,11
2020/01/30 00:00:00+00,9,0,9
2020/01/31 00:00:00+00,13,0,13
2020/02/01 00:00:00+00,7,0,7
2020/02/02 00:00:00+00,10,0,10
2020/02/03 00:00:00+00,5,1,4
2020/02/04 00:00:00+00,4,0,4
2020/02/05 00:00:00+00,4,1,3
2020/02/06 00:00:00+00,1,0,1
2020/02/07 00:00:00+00,5,0,5
2020/02/08 00:00:00+00,1,0,1
2020/02/09 00:00:00+00,6,0,6
2020/02/10 00:00:00+00,12,0,12
2020/02/11 00:00:00+00,9,0,9
2020/02/12 00:00:00+00,4,0,4
2020/02/13 00:00:00+00,6,0,6
2020/02/14 00:00:00+00,7,1,6
2020/02/15 00:00:00+00,16,0,16
2020/02/16 00:00:00+00,12,0,12
2020/02/17 00:00:00+00,11,0,11
2020/02/18 00:00:00+00,15,1,14
2020/02/19 00:00:00+00,13,1,12
2020/02/20 00:00:00+00,30,2,28
2020/02/21 00:00:00+00,18,0,18
2020/02/22 00:00:00+00,26,0,26
2020/02/23 00:00:00+00,44,1,43
2020/02/24 00:00:00+00,70,0,70
2020/02/25 00:00:00+00,108,2,106
2020/02/26 00:00:00+00,159,8,151
2020/02/27 00:00:00+00,160,2,158
2020/02/28 00:00:00+00,218,4,214
2020/02/29 00:00:00+00,192,2,190
2020/03/01 00:00:00+00,232,4,228
2020/03/02 00:00:00+00,296,9,287
2020/03/03 00:00:00+00,305,11,294
2020/03/04 00:00:00+00,412,10,402
2020/03/05 00:00:00+00,454,9,445
2020/03/06 00:00:00+00,682,20,662
2020/03/07 00:00:00+00,819,22,797
2020/03/08 00:00:00+00,1105,24,1081
2020/03/09 00:00:00+00,1770,26,1744
2020/03/10 00:00:00+00,2258,35,2223
2020/03/11 00:00:00+00,2828,48,2780
2020/03/12 00:00:00+00,3164,60,3104
2020/03/13 00:00:00+00,3908,78,3830
2020/03/14 00:00:00+00,3889,61,3828
2020/03/15 00:00:00+00,4048,99,3949
2020/03/16 00:00:00+00,5487,136,5351
2020/03/17 00:00:00+00,4936,127,4809
2020/03/18 00:00:00+00,5145,145,5000
2020/03/19 00:00:00+00,4590,129,4461
2020/03/20 00:00:00+00,5201,194,5007
2020/03/21 00:00:00+00,4230,145,4085
2020/03/22 00:00:00+00,3412,127,3285
2020/03/23 00:00:00+00,4967,257,4710
2020/03/24 00:00:00+00,4037,214,3823
2020/03/25 00:00:00+00,4573,257,4316
2020/03/26 00:00:00+00,4260,231,4029
2020/03/27 00:00:00+00,4449,254,4195
2020/03/28 00:00:00+00,3949,264,3685
2020/03/29 00:00:00+00,3037,173,2864
2020/03/30 00:00:00+00,4364,310,4054
2020/03/31 00:00:00+00,3971,267,3704
2020/04/01 00:00:00+00,4459,314,4145
2020/04/02 00:00:00+00,4250,332,3918
2020/04/03 00:00:00+00,4384,342,4042
2020/04/04 00:00:00+00,3271,231,3040
2020/04/05 00:00:00+00,2634,202,2432
2020/04/06 00:00:00+00,3496,294,3202
2020/04/07 00:00:00+00,3478,262,3216
2020/04/08 00:00:00+00,3454,278,3176
2020/04/09 00:00:00+00,3283,251,3032
2020/04/10 00:00:00+00,2572,201,2371
2020/04/11 00:00:00+00,2336,167,2169
2020/04/12 00:00:00+00,1902,153,1749
2020/04/13 00:00:00+00,1787,129,1658
2020/04/14 00:00:00+00,2068,160,1908
2020/04/15 00:00:00+00,2226,162,2064
2020/04/16 00:00:00+00,2147,128,2019
2020/04/17 00:00:00+00,2188,129,2059
2020/04/18 00:00:00+00,1649,97,1552
2020/04/19 00:00:00+00,1292,98,1194
2020/04/20 00:00:00+00,1605,123,1482
2020/04/21 00:00:00+00,1512,100,1412
2020/04/22 00:00:00+00,1710,96,1614
2020/04/23 00:00:00+00,1576,100,1476
2020/04/24 00:00:00+00,1463,69,1394
2020/04/25 00:00:00+00,1131,61,1070
2020/04/26 00:00:00+00,792,35,757
2020/04/27 00:00:00+00,1168,66,1102
2020/04/28 00:00:00+00,1081,66,1015
2020/04/29 00:00:00+00,1089,60,1029
2020/04/30 00:00:00+00,1127,58,1069
2020/05/01 00:00:00+00,862,36,826
2020/05/02 00:00:00+00,683,23,660
2020/05/03 00:00:00+00,594,24,570
2020/05/04 00:00:00+00,830,43,787
2020/05/05 00:00:00+00,897,37,860
2020/05/06 00:00:00+00,917,27,890
2020/05/07 00:00:00+00,849,35,814
2020/05/08 00:00:00+00,801,34,767
2020/05/09 00:00:00+00,608,7,601
2020/05/10 00:00:00+00,445,25,420
2020/05/11 00:00:00+00,683,22,661
2020/05/12 00:00:00+00,639,16,623
2020/05/13 00:00:00+00,701,26,675
2020/05/14 00:00:00+00,627,15,612
2020/05/15 00:00:00+00,728,32,696
2020/05/16 00:00:00+00,504,23,481
2020/05/17 00:00:00+00,393,13,380
2020/05/18 00:00:00+00,627,12,615
2020/05/19 00:00:00+00,531,13,518
2020/05/20 00:00:00+00,707,31,676
2020/05/21 00:00:00+00,403,6,397
2020/05/22 00:00:00+00,441,12,429
2020/05/23 00:00:00+00,357,10,347
2020/05/24 00:00:00+00,295,7,288
2020/05/25 00:00:00+00,452,9,443
2020/05/26 00:00:00+00,567,14,553
2020/05/27 00:00:00+00,530,12,518
2020/05/28 00:00:00+00,436,8,428
2020/05/29 00:00:00+00,380,5,375
2020/05/30 00:00:00+00,345,4,341
2020/05/31 00:00:00+00,214,6,208
2020/06/01 00:00:00+00,240,7,233
2020/06/02 00:00:00+00,340,6,334
2020/06/03 00:00:00+00,466,6,460
2020/06/04 00:00:00+00,441,4,437
2020/06/05 00:00:00+00,382,6,376
2020/06/06 00:00:00+00,275,6,269
2020/06/07 00:00:00+00,184,5,179
2020/06/08 00:00:00+00,366,3,363
2020/06/09 00:00:00+00,404,5,399
2020/06/10 00:00:00+00,492,8,484
2020/06/11 00:00:00+00,300,2,298
2020/06/12 00:00:00+00,371,14,357
2020/06/13 00:00:00+00,346,3,343
2020/06/14 00:00:00+00,260,3,257
2020/06/15 00:00:00+00,400,4,396
2020/06/16 00:00:00+00,926,6,920
2020/06/17 00:00:00+00,717,6,711
2020/06/18 00:00:00+00,551,1,550
2020/06/19 00:00:00+00,753,5,748
2020/06/20 00:00:00+00,452,7,445
2020/06/21 00:00:00+00,346,4,342
2020/06/22 00:00:00+00,518,3,515
2020/06/23 00:00:00+00,508,7,501
2020/06/24 00:00:00+00,477,3,474
2020/06/25 00:00:00+00,486,6,480
2020/06/26 00:00:00+00,504,6,498
2020/06/27 00:00:00+00,331,1,330
2020/06/28 00:00:00+00,264,0,264
2020/06/29 00:00:00+00,454,4,450
2020/06/30 00:00:00+00,450,2,448
2020/07/01 00:00:00+00,440,6,434
2020/07/02 00:00:00+00,399,5,394
2020/07/03 00:00:00+00,407,4,403
2020/07/04 00:00:00+00,291,1,290
2020/07/05 00:00:00+00,239,4,235
2020/07/06 00:00:00+00,365,3,362
2020/07/07 00:00:00+00,383,6,377
2020/07/08 00:00:00+00,396,3,393
2020/07/09 00:00:00+00,383,4,379
2020/07/10 00:00:00+00,453,4,449
2020/07/11 00:00:00+00,348,2,346
2020/07/12 00:00:00+00,237,0,237
2020/07/13 00:00:00+00,468,4,464
2020/07/14 00:00:00+00,470,5,465
2020/07/15 00:00:00+00,573,5,568
2020/07/16 00:00:00+00,490,7,483
2020/07/17 00:00:00+00,528,4,524
2020/07/18 00:00:00+00,497,2,495
2020/07/19 00:00:00+00,391,8,383
2020/07/20 00:00:00+00,607,8,599
2020/07/21 00:00:00+00,600,4,596
2020/07/22 00:00:00+00,681,6,675
2020/07/23 00:00:00+00,634,3,631
2020/07/24 00:00:00+00,733,2,731
2020/07/25 00:00:00+00,587,3,584
2020/07/26 00:00:00+00,453,4,449
2020/07/27 00:00:00+00,688,7,681
2020/07/28 00:00:00+00,731,2,729
2020/07/29 00:00:00+00,774,5,769
2020/07/30 00:00:00+00,738,5,733
2020/07/31 00:00:00+00,870,12,858
2020/08/01 00:00:00+00,694,1,693
2020/08/02 00:00:00+00,555,3,552
2020/08/03 00:00:00+00,904,4,900
2020/08/04 00:00:00+00,940,4,936
2020/08/05 00:00:00+00,1009,1,1008
2020/08/06 00:00:00+00,1064,4,1060
2020/08/07 00:00:00+00,1046,5,1041
2020/08/08 00:00:00+00,835,4,831
2020/08/09 00:00:00+00,620,3,617
2020/08/10 00:00:00+00,1258,8,1250
2020/08/11 00:00:00+00,1224,4,1220
2020/08/12 00:00:00+00,1456,8,1448
2020/08/13 00:00:00+00,1406,5,1401
2020/08/14 00:00:00+00,1344,6,1338
2020/08/15 00:00:00+00,961,4,957
2020/08/16 00:00:00+00,797,1,796
2020/08/17 00:00:00+00,1554,6,1548
2020/08/18 00:00:00+00,1514,5,1509
2020/08/19 00:00:00+00,1558,5,1553
2020/08/20 00:00:00+00,1392,3,1389
2020/08/21 00:00:00+00,1497,1,1496
2020/08/22 00:00:00+00,1048,1,1047
2020/08/23 00:00:00+00,833,2,831
2020/08/24 00:00:00+00,1510,3,1507
2020/08/25 00:00:00+00,1529,4,1525
2020/08/26 00:00:00+00,1468,2,1466
2020/08/27 00:00:00+00,1416,4,1412
2020/08/28 00:00:00+00,1307,7,1300
2020/08/29 00:00:00+00,889,4,885
2020/08/30 00:00:00+00,769,1,768
2020/08/31 00:00:00+00,1266,5,1261
2020/09/01 00:00:00+00,1451,6,1445
2020/09/02 00:00:00+00,1356,8,1348
2020/09/03 00:00:00+00,1398,5,1393
2020/09/04 00:00:00+00,1513,10,1503
2020/09/05 00:00:00+00,1155,7,1148
2020/09/06 00:00:00+00,984,5,979
2020/09/07 00:00:00+00,1668,8,1660
2020/09/08 00:00:00+00,1639,13,1626
2020/09/09 00:00:00+00,1721,8,1713
2020/09/10 00:00:00+00,1661,8,1653
2020/09/11 00:00:00+00,1658,12,1646
2020/09/12 00:00:00+00,1428,11,1417
2020/09/13 00:00:00+00,1184,5,1179
2020/09/14 00:00:00+00,1941,9,1932
2020/09/15 00:00:00+00,2009,14,1995
2020/09/16 00:00:00+00,2071,13,2058
2020/09/17 00:00:00+00,1994,14,1980
2020/09/18 00:00:00+00,1963,15,1948
2020/09/19 00:00:00+00,1477,17,1460
2020/09/20 00:00:00+00,1196,18,1178
2020/09/21 00:00:00+00,2079,11,2068
2020/09/22 00:00:00+00,2034,20,2014
2020/09/23 00:00:00+00,2139,11,2128
2020/09/24 00:00:00+00,2160,20,2140
2020/09/25 00:00:00+00,2236,22,2214
2020/09/26 00:00:00+00,1876,18,1858
2020/09/27 00:00:00+00,1457,12,1445
2020/09/28 00:00:00+00,2465,20,2445
2020/09/29 00:00:00+00,2545,14,2531
2020/09/30 00:00:00+00,2706,20,2686
2020/10/01 00:00:00+00,2979,25,2954
2020/10/02 00:00:00+00,3305,35,3270
2020/10/03 00:00:00+00,2938,18,2920
2020/10/04 00:00:00+00,2292,18,2274
2020/10/05 00:00:00+00,3854,43,3811
2020/10/06 00:00:00+00,4132,25,4107
2020/10/07 00:00:00+00,4574,41,4533
2020/10/08 00:00:00+00,4807,46,4761
2020/10/09 00:00:00+00,5287,62,5225
2020/10/10 00:00:00+00,4660,48,4612
2020/10/11 00:00:00+00,3890,35,3855
2020/10/12 00:00:00+00,6188,59,6129
2020/10/13 00:00:00+00,6707,65,6642
2020/10/14 00:00:00+00,7841,62,7779
2020/10/15 00:00:00+00,8101,93,8008
2020/10/16 00:00:00+00,8926,93,8833
2020/10/17 00:00:00+00,7514,83,7431
2020/10/18 00:00:00+00,6901,79,6822
2020/10/19 00:00:00+00,10558,115,10443
2020/10/20 00:00:00+00,12135,145,11990
2020/10/21 00:00:00+00,14002,162,13840
2020/10/22 00:00:00+00,14210,230,13980
2020/10/23 00:00:00+00,15159,205,14954
2020/10/24 00:00:00+00,12812,153,12659
2020/10/25 00:00:00+00,11219,154,11065
2020/10/26 00:00:00+00,16201,232,15969
2020/10/27 00:00:00+00,17197,233,16963
2020/10/28 00:00:00+00,18651,259,18392
2020/10/29 00:00:00+00,17893,263,17630
2020/10/30 00:00:00+00,18503,261,18242
2020/10/31 00:00:00+00,14520,203,14317
2020/11/01 00:00:00+00,13465,224,13241
2020/11/02 00:00:00+00,19276,338,18938
2020/11/03 00:00:00+00,19109,289,18820
2020/11/04 00:00:00+00,19534,272,19262
2020/11/05 00:00:00+00,19218,295,18923
2020/11/06 00:00:00+00,19251,273,18978
2020/11/07 00:00:00+00,15802,218,15584
2020/11/08 00:00:00+00,12341,206,12135
2020/11/09 00:00:00+00,18723,364,18359
2020/11/10 00:00:00+00,19174,375,18799
2020/11/11 00:00:00+00,20418,399,20019
2020/11/12 00:00:00+00,20342,429,19913
2020/11/13 00:00:00+00,20312,446,19866
2020/11/14 00:00:00+00,15761,351,15410
2020/11/15 00:00:00+00,11959,281,11677
2020/11/16 00:00:00+00,18411,451,17960
2020/11/17 00:00:00+00,19344,479,18865
2020/11/18 00:00:00+00,20817,506,20310
2020/11/19 00:00:00+00,20582,521,20061
2020/11/20 00:00:00+00,20173,505,19668
2020/11/21 00:00:00+00,14500,341,14159
2020/11/22 00:00:00+00,11346,312,11034
2020/11/23 00:00:00+00,17742,494,17248
2020/11/24 00:00:00+00,18254,488,17766
2020/11/25 00:00:00+00,19779,569,19210
2020/11/26 00:00:00+00,19542,593,18949
2020/11/27 00:00:00+00,19138,603,18533
2020/11/28 00:00:00+00,15689,455,15234
2020/11/29 00:00:00+00,11630,358,11272
2020/11/30 00:00:00+00,17940,595,17344
2020/12/01 00:00:00+00,19777,675,19102
2020/12/02 00:00:00+00,21539,709,20830
2020/12/03 00:00:00+00,23204,805,22399
2020/12/04 00:00:00+00,22381,770,21611
2020/12/05 00:00:00+00,18197,547,17650
2020/12/06 00:00:00+00,15009,464,14545
2020/12/07 00:00:00+00,22249,755,21494
2020/12/08 00:00:00+00,24265,863,23402
2020/12/09 00:00:00+00,25779,816,24963
2020/12/10 00:00:00+00,26934,1031,25903
2020/12/11 00:00:00+00,26303,932,25371
2020/12/12 00:00:00+00,22202,782,21417
2020/12/13 00:00:00+00,16847,578,16269
2020/12/14 00:00:00+00,24599,926,23673
2020/12/15 00:00:00+00,26112,1017,25095
2020/12/16 00:00:00+00,28292,1045,27247
2020/12/17 00:00:00+00,27942,1067,26875
2020/12/18 00:00:00+00,27019,955,26063
2020/12/19 00:00:00+00,21061,737,20324
2020/12/20 00:00:00+00,16978,661,16316
2020/12/21 00:00:00+00,22376,944,21431
2020/12/22 00:00:00+00,24677,1038,23639
2020/12/23 00:00:00+00,27176,1095,26081
2020/12/24 00:00:00+00,19854,758,19096
2020/12/25 00:00:00+00,14582,601,13981
2020/12/26 00:00:00+00,14979,615,14364
2020/12/27 00:00:00+00,14317,542,13775
2020/12/28 00:00:00+00,20270,924,19346
2020/12/29 00:00:00+00,22625,1076,21549
2020/12/30 00:00:00+00,24022,1082,22940
2020/12/31 00:00:00+00,17465,695,16770
2021/01/01 00:00:00+00,12904,493,12411
2021/01/02 00:00:00+00,13857,568,13288
2021/01/03 00:00:00+00,13259,520,12739
2021/01/04 00:00:00+00,18383,749,17633
2021/01/05 00:00:00+00,21992,924,21068
2021/01/06 00:00:00+00,21603,840,20763
2021/01/07 00:00:00+00,20427,832,19595
2021/01/08 00:00:00+00,20431,795,19635
2021/01/09 00:00:00+00,15158,537,14621
2021/01/10 00:00:00+00,11175,482,10693
2021/01/11 00:00:00+00,15852,624,15228
2021/01/12 00:00:00+00,18593,823,17770
2021/01/13 00:00:00+00,19270,854,18416
2021/01/14 00:00:00+00,17093,791,16302
2021/01/15 00:00:00+00,16312,712,15600
2021/01/16 00:00:00+00,13123,489,12634
2021/01/17 00:00:00+00,9503,419,9084
2021/01/18 00:00:00+00,12985,600,12384
2021/01/19 00:00:00+00,15710,695,15015
2021/01/20 00:00:00+00,16154,701,15453
2021/01/21 00:00:00+00,14247,614,13633
2021/01/22 00:00:00+00,13460,563,12896
2021/01/23 00:00:00+00,11071,383,10688
2021/01/24 00:00:00+00,7576,271,7305
2021/01/25 00:00:00+00,10208,445,9762
2021/01/26 00:00:00+00,13153,500,12652
2021/01/27 00:00:00+00,12671,482,12189
2021/01/28 00:00:00+00,11399,423,10975
2021/01/29 00:00:00+00,11314,390,10924
2021/01/30 00:00:00+00,9534,289,9245
2021/01/31 00:00:00+00,6212,186,6025
2021/02/01 00:00:00+00,8737,346,8391
2021/02/02 00:00:00+00,10441,362,10079
2021/02/03 00:00:00+00,10988,387,10600
2021/02/04 00:00:00+00,9611,353,9258
2021/02/05 00:00:00+00,8977,290,8687
2021/02/06 00:00:00+00,7718,194,7524
2021/02/07 00:00:00+00,4887,144,4743
2021/02/08 00:00:00+00,6770,249,6521
2021/02/09 00:00:00+00,8090,259,7831
2021/02/10 00:00:00+00,8639,263,8376
2021/02/11 00:00:00+00,7865,258,7606
2021/02/12 00:00:00+00,8029,221,7808
2021/02/13 00:00:00+00,6241,159,6082
2021/02/14 00:00:00+00,5262,121,5141
2021/02/15 00:00:00+00,7016,227,6788
2021/02/16 00:00:00+00,8378,234,8142
2021/02/17 00:00:00+00,8884,250,8633
2021/02/18 00:00:00+00,8506,222,8283
2021/02/19 00:00:00+00,8366,185,8180
2021/02/20 00:00:00+00,7789,135,7652
2021/02/21 00:00:00+00,5192,100,5092
2021/02/22 00:00:00+00,7343,211,7129
2021/02/23 00:00:00+00,9131,186,8940
2021/02/24 00:00:00+00,9341,180,9161
2021/02/25 00:00:00+00,8525,165,8357
2021/02/26 00:00:00+00,8857,145,8712
2021/02/27 00:00:00+00,7771,125,7643
2021/02/28 00:00:00+00,5724,90,5633
2021/03/01 00:00:00+00,7876,162,7714
2021/03/02 00:00:00+00,9613,132,9478
2021/03/03 00:00:00+00,9871,128,9740
2021/03/04 00:00:00+00,9224,133,9088
2021/03/05 00:00:00+00,9423,127,9293
2021/03/06 00:00:00+00,8552,113,8435
2021/03/07 00:00:00+00,6386,88,6296
2021/03/08 00:00:00+00,8944,162,8776
2021/03/09 00:00:00+00,11124,125,10993
2021/03/10 00:00:00+00,12535,155,12375
2021/03/11 00:00:00+00,12237,147,12083
2021/03/12 00:00:00+00,12552,141,12395
2021/03/13 00:00:00+00,11312,101,11199
2021/03/14 00:00:00+00,8695,89,8599
2021/03/15 00:00:00+00,11775,135,11624
2021/03/16 00:00:00+00,14925,156,14757
2021/03/17 00:00:00+00,16481,159,16307
2021/03/18 00:00:00+00,15151,156,14971
2021/03/19 00:00:00+00,15160,138,15005
2021/03/20 00:00:00+00,13884,102,9699
2021/03/21 00:00:00+00,10402,91,7720
2021/03/22 00:00:00+00,14231,147,10395
2021/03/23 00:00:00+00,18034,169,12426
2021/03/24 00:00:00+00,20107,152,13491
2021/03/25 00:00:00+00,19357,127,12534
2021/03/26 00:00:00+00,18311,138,12200
2021/03/27 00:00:00+00,15422,108,10263
2021/03/28 00:00:00+00,10664,71,7453
2021/03/29 00:00:00+00,14752,112,10068
2021/03/30 00:00:00+00,17890,123,11437
2021/03/31 00:00:00+00,19754,124,12368
2021/04/01 00:00:00+00,19279,98,11962
2021/04/02 00:00:00+00,15365,79,10035
2021/04/03 00:00:00+00,12404,65,49
2021/04/04 00:00:00+00,10434,40,52
2021/04/05 00:00:00+00,11050,52,37
2021/04/06 00:00:00+00,14457,60,43
2021/04/07 00:00:00+00,19923,38,38
2021/04/08 00:00:00+00,20819,48,22
2021/04/09 00:00:00+00,18750,25,9
2021/04/10 00:00:00+00,15517,21,0
2021/04/11 00:00:00+00,9466,11,0
2021/04/12 00:00:00+00,11554,21,-6
2021/04/13 00:00:00+00,17596,12,-2
2021/04/14 00:00:00+00,19183,4,-4
2021/04/15 00:00:00+00,13079,3,-1
